,,,,,,,,,,
,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard,Year,,https://www.espncricinfo.com/
,Kenya,Zimbabwe,Zimbabwe,5 wickets,Patna,27-Feb-96,ODI # 1063,1995,,
,Pakistan,Netherlands,Pakistan,8 wickets,Lahore,26-Feb-96,ODI # 1062,1995,,
,Kenya,Zimbabwe,no result,-,Patna,26-Feb-96,ODI # 1061,1995,,
,England,South Africa,South Africa,78 runs,Rawalpindi,25-Feb-96,ODI # 1060,1995,,
,Pakistan,U.A.E.,Pakistan,9 wickets,Gujranwala,24-Feb-96,ODI # 1059,1995,,
,Australia,Kenya,Australia,97 runs,Visakhapatnam,23-Feb-96,ODI # 1058,1995,,
,England,Netherlands,England,49 runs,Peshawar,22-Feb-96,ODI # 1057,1995,,
,India,West Indies,India,5 wickets,Gwalior,21-Feb-96,ODI # 1056,1995,,
,Sri Lanka,Zimbabwe,Sri Lanka,6 wickets,Colombo (SSC),21-Feb-96,ODI # 1055,1995,,
,New Zealand,South Africa,South Africa,5 wickets,Faisalabad,20-Feb-96,ODI # 1054,1995,,
,England,U.A.E.,England,8 wickets,Peshawar,18-Feb-96,ODI # 1053,1995,,
,India,Kenya,India,7 wickets,Cuttack,18-Feb-96,ODI # 1052,1995,,
,Netherlands,New Zealand,New Zealand,119 runs,Vadodara,17-Feb-96,ODI # 1051,1995,,
,West Indies,Zimbabwe,West Indies,6 wickets,Hyderabad (Deccan),16-Feb-96,ODI # 1050,1995,,
,South Africa,U.A.E.,South Africa,169 runs,Rawalpindi,16-Feb-96,ODI # 1049,1995,,
,England,New Zealand,New Zealand,11 runs,Ahmedabad,14-Feb-96,ODI # 1048,1995,,
,Australia,Pakistan,Australia,8 wickets,Lord's,20-Jun-99,ODI # 1484,1999,,
,Australia,South Africa,tied,-,Birmingham,17-Jun-99,ODI # 1483,1999,,
,New Zealand,Pakistan,Pakistan,9 wickets,Manchester,16-Jun-99,ODI # 1482,1999,,
,Australia,South Africa,Australia,5 wickets,Leeds,13-Jun-99,ODI # 1481,1999,,
,India,New Zealand,New Zealand,5 wickets,Nottingham,12-Jun-99,ODI # 1480,1999,,
,Pakistan,Zimbabwe,Pakistan,148 runs,The Oval,11-Jun-99,ODI # 1479,1999,,
,New Zealand,South Africa,South Africa,74 runs,Birmingham,10-Jun-99,ODI # 1478,1999,,
,Australia,Zimbabwe,Australia,44 runs,Lord's,9-Jun-99,ODI # 1477,1999,,
,India,Pakistan,India,47 runs,Manchester,8-Jun-99,ODI # 1476,1999,,
,New Zealand,Zimbabwe,no result,-,Leeds,"Jun 6-7, 1999",ODI # 1475,1999,,
,Pakistan,South Africa,South Africa,3 wickets,Nottingham,5-Jun-99,ODI # 1474,1999,,
,Australia,India,Australia,77 runs,The Oval,4-Jun-99,ODI # 1473,1999,,
,Bangladesh,Pakistan,Bangladesh,62 runs,Northampton,31-May-99,ODI # 1471,1999,,
,Scotland,New Zealand,New Zealand,6 wickets,Edinburgh,31-May-99,ODI # 1472,1999,,
,Kenya,Sri Lanka,Sri Lanka,45 runs,Southampton,30-May-99,ODI # 1469,1999,,
,Australia,West Indies,Australia,6 wickets,Manchester,30-May-99,ODI # 1470,1999,,
,England,India,India,63 runs,Birmingham,"May 29-30, 1999",ODI # 1467,1999,,
,South Africa,Zimbabwe,Zimbabwe,48 runs,Chelmsford,29-May-99,ODI # 1468,1999,,
,New Zealand,Pakistan,Pakistan,62 runs,Derby,28-May-99,ODI # 1466,1999,,
,Australia,Bangladesh,Australia,7 wickets,Chester-le-Street,27-May-99,ODI # 1464,1999,,
,Scotland,West Indies,West Indies,8 wickets,Leicester,27-May-99,ODI # 1465,1999,,
,India,Sri Lanka,India,157 runs,Taunton,26-May-99,ODI # 1463,1999,,
,Kenya,South Africa,South Africa,7 wickets,Amstelveen,26-May-99,ODI # 1462,1999,,
,England,Zimbabwe,England,7 wickets,Nottingham,25-May-99,ODI # 1461,1999,,
,Scotland,Bangladesh,Bangladesh,22 runs,Edinburgh,24-May-99,ODI # 1459,1999,,
,New Zealand,West Indies,West Indies,7 wickets,Southampton,24-May-99,ODI # 1460,1999,,
,India,Kenya,India,94 runs,Bristol,23-May-99,ODI # 1457,1999,,
