league,pedigree,balance,n,r,p,r_detrended,p_detrended,q_detrended
NBA,prior_top4,hhi_wins,43,-0.4130690072395836,0.005905416242560717,-0.1539501356115196,0.32429842755650196,0.6016313939539842
NBA,prior_top4,gini_wins,43,0.07852170430620117,0.6167212515892538,0.14771481361257643,0.34451213972028044,0.6016313939539842
NBA,prior_top4,upset_rate,43,-0.03451841863683597,0.826067532986892,-0.08220183445822184,0.600252094662636,0.7203025135951631
NBA,prior_top8,win_pct_sd,43,0.021469206264231794,0.8913073128126745,0.12882000739939647,0.4103510866196112,0.6503677599254216
NBA,prior_top8,noll_scully,43,-0.014174866293544891,0.9281153522305966,0.10563529453732116,0.500199876654579,0.6779413025528804
NBA,prior_top8,mov_sd,43,0.040421111274987945,0.7969058479319313,0.0007112501482893635,0.996388354987769,0.9963883549877691
NBA,prior_top8,strength_sd,43,0.086595466276282,0.5808451194171479,0.1581964761927343,0.31096766950330584,0.6016313939539842
NBA,prior_top8,top_bottom_gap,43,-0.03179839742688821,0.8395862368898601,-0.0071160245121422334,0.963877431691429,0.975490412796145
NBA,prior_top8,hhi_wins,43,-0.5089753799460165,0.0004914616282542158,-0.24174306845201926,0.11834250917866193,0.4518532168639819
NBA,prior_top8,gini_wins,43,0.09868141838508197,0.52897671122289,0.1875588548655538,0.22843982273543414,0.5932073086561871
NBA,prior_top8,upset_rate,43,-0.048460612702148395,0.7576297210851161,-0.10929808545765848,0.4853707569950677,0.6779413025528804
NBA,career_win_pct,win_pct_sd,42,-0.04446095007603203,0.7797978603911055,-0.19916555223340876,0.20605030637311578,0.5861648462573925
NBA,career_win_pct,noll_scully,42,-0.003860138957801143,0.9806438956610549,-0.17170088133437805,0.2769188107471037,0.6016313939539842
NBA,career_win_pct,mov_sd,42,-0.29672791122998776,0.05636444620345832,-0.3225922820714425,0.03719550168417587,0.4518532168639819
NBA,career_win_pct,strength_sd,42,-0.08894936644068387,0.5753611581521547,-0.19482041686085838,0.21632274088070436,0.5861648462573925
NBA,career_win_pct,top_bottom_gap,42,-0.12224499241928784,0.4405714053495259,-0.19568667569526094,0.21424702914060204,0.5861648462573925
NBA,career_win_pct,hhi_wins,42,0.6331223215244226,6.810550449170329e-06,0.28465186230921496,0.06768684078472552,0.4518532168639819
NBA,career_win_pct,gini_wins,42,-0.05077285259155766,0.7494826619807604,-0.16440351297830397,0.2981528333369226,0.6016313939539842
NBA,career_win_pct,upset_rate,42,0.08756660899166273,0.5813380285481654,0.18804223598254186,0.2330457284006449,0.5932073086561871
NBA,pedigree_index,win_pct_sd,43,0.1443954133292753,0.35558172733703464,0.22082241082835688,0.15473747005957175,0.4999210571155395
NBA,pedigree_index,noll_scully,43,0.14868786422129637,0.34130777480360575,0.2378971818078271,0.12449509939411149,0.45467775430892887
NBA,pedigree_index,mov_sd,43,0.09924986233790499,0.5265942918012354,0.07642844621078167,0.6261731410745772,0.7408245612713308
NBA,pedigree_index,strength_sd,43,0.19463225184491928,0.211050546781858,0.24411191037276667,0.11466884438839738,0.4518532168639819
NBA,pedigree_index,top_bottom_gap,43,0.02854923351224265,0.8557944289638313,0.04830344963537473,0.7583921292630945,0.8533748789088469
NBA,pedigree_index,hhi_wins,43,-0.3574211475675362,0.01862165038437717,-0.18176825832926105,0.24338794514724946,0.5957140115336834
NBA,pedigree_index,gini_wins,43,0.21088436816726575,0.17464302930367445,0.2717866894368898,0.07788983725826588,0.4518532168639819
NBA,pedigree_index,upset_rate,43,-0.15663472119507832,0.315829507233619,-0.20014956871654288,0.19814269939567275,0.5861648462573925
NCAAF,prior_titles,win_pct_sd,54,0.21701652598084697,0.11496259554439305,0.45149847734284987,0.0006106894751964049,0.017099305305499336
NCAAF,prior_titles,noll_scully,54,0.33203179713231745,0.014172495304137686,0.22180992703832594,0.10696736315408861,0.4518532168639819
NCAAF,prior_titles,mov_sd,54,-0.2222428433034886,0.10626688539231967,0.2152211523164817,0.1180719410149774,0.4518532168639819
NCAAF,prior_titles,top_bottom_gap,54,0.1271546276868059,0.35953325810781456,0.1998005527817206,0.14747041968007912,0.4999210571155395
NCAAF,prior_titles,hhi_wins,54,0.06307488210391352,0.6504695211874196,0.12942394213016697,0.35095164647315746,0.6016313939539842
NCAAF,prior_titles,gini_wins,54,0.353528445832058,0.008731712704644592,0.5119355707371174,7.595845986056284e-05,0.006380510628287279
NCAAF,prior_titles_10y,win_pct_sd,54,0.23829069256518334,0.08270696624133039,0.34902435737190807,0.009690403511429267,0.20349847374001462
NCAAF,prior_titles_10y,noll_scully,54,0.17244096763395833,0.2124370752086548,0.10372451099645272,0.45542695981814485,0.6779413025528804
NCAAF,prior_titles_10y,mov_sd,54,-0.07954920407781703,0.5674614652926805,0.15538551298004316,0.2618799689986977,0.6016313939539842
NCAAF,prior_titles_10y,top_bottom_gap,54,0.10628895375982265,0.44429782424224484,0.13555309089819262,0.3284105454172082,0.6016313939539842
NCAAF,prior_titles_10y,hhi_wins,54,0.06130079753818667,0.6596900434940886,0.09042146719432137,0.5155334381992045,0.6795280545520179
NCAAF,prior_titles_10y,gini_wins,54,0.38976766922503386,0.0035756620789375478,0.4567247075252127,0.0005175916270730326,0.017099305305499336
NCAAF,prior_top4,win_pct_sd,54,-0.1765385983829936,0.2016056133842879,-0.09589831643919607,0.4903143692754251,0.6779413025528804
NCAAF,prior_top4,noll_scully,54,0.06643623845084967,0.6331419950833215,-0.01941228112698415,0.8891927387344968,0.9221258031320707
NCAAF,prior_top4,mov_sd,54,-0.21004037128921624,0.1274035628002652,-0.013392051299514193,0.9234311214316127,0.9459538317104326
NCAAF,prior_top4,top_bottom_gap,54,-0.1269330825973942,0.3603778503211994,-0.10499505176284987,0.44989414607256384,0.6779413025528804
NCAAF,prior_top4,hhi_wins,54,-0.20695668566206815,0.13321630342633137,-0.1871012732893501,0.17550204767203811,0.5460063705352297
NCAAF,prior_top4,gini_wins,54,-0.1789072371524005,0.1955258242670435,-0.13709107953713176,0.3229007130699253,0.6016313939539842
NCAAF,prior_top8,win_pct_sd,54,-0.1786012486083149,0.1963038058593401,-0.1070479159445059,0.44103323252752147,0.6779413025528804
NCAAF,prior_top8,noll_scully,54,0.03693242536243002,0.7909040398905313,-0.04219269247353521,0.7619418561686133,0.8533748789088469
NCAAF,prior_top8,mov_sd,54,-0.20403172815476042,0.13891187596457488,-0.034083965182571445,0.8067077556268565,0.8781803785693736
NCAAF,prior_top8,top_bottom_gap,54,-0.15859443287176467,0.2520336658423691,-0.1397608714597011,0.3134760517994157,0.6016313939539842
NCAAF,prior_top8,hhi_wins,54,-0.17934169835647767,0.1944249719244613,-0.1598620112369168,0.2482141714723681,0.5957140115336834
NCAAF,prior_top8,gini_wins,54,-0.174084312474998,0.2080451597454443,-0.1360857710591086,0.3264955612734498,0.6016313939539842
NCAAF,career_win_pct,win_pct_sd,53,0.11645611191544283,0.40629689920417733,0.09083223664815795,0.5177356606110612,0.6795280545520179
NCAAF,career_win_pct,noll_scully,53,0.04197809218260838,0.7653601391396716,0.07877962352306553,0.5749876553833965,0.6999849717710913
NCAAF,career_win_pct,mov_sd,53,0.1288196764541056,0.35794024917400186,0.08211220149632684,0.5588705357512548,0.6991822455628387
NCAAF,career_win_pct,top_bottom_gap,53,-0.019048707185018506,0.8923097620093885,-0.026184775180323624,0.8523551203503098,0.8949728763678253
NCAAF,career_win_pct,hhi_wins,53,-0.12023339300505226,0.3911369863151271,-0.13263300872735745,0.34376625167961844,0.6016313939539842
NCAAF,career_win_pct,gini_wins,53,0.10345060561326608,0.46102845486759486,0.0881621379061936,0.5301679521278567,0.6851401227498457
NCAAF,pedigree_index,win_pct_sd,54,0.03688101037365232,0.7911885807857646,0.22332804019294478,0.10452650654363127,0.4518532168639819
NCAAF,pedigree_index,noll_scully,54,0.223803476970855,0.10377098495784992,0.09769523566257513,0.48218284504608805,0.6779413025528804
NCAAF,pedigree_index,mov_sd,54,-0.26357677770116617,0.05413307983902459,0.1217954243406294,0.3803018242926667,0.6335954663865457
NCAAF,pedigree_index,top_bottom_gap,54,-0.01917698429309555,0.8905275724869386,0.028919362983969975,0.8355539199510421,0.8884370794416144
NCAAF,pedigree_index,hhi_wins,54,-0.09643832944069512,0.4878631727968339,-0.055827993294134244,0.688446717933317,0.8031878375888699
NCAAF,pedigree_index,gini_wins,54,0.14370774138395398,0.2998686065915716,0.2605166954398071,0.05709257409922537,0.4518532168639819
