season,start_year,n_teams,n_games,paper_cb_win,win_pct_sd,noll_scully,hhi_wins,rsd_wins,closeness,paper_cb_rating,rating_sd,dominance,cluster,pc1,pc2
2000-2001,2000,29,82,1.956783074333995,0.1571590374562888,2.846271224211319,0.03777195075973264,0.3143139120673992,0.1320344827586207,0.2706834881346701,4.429103424267392,13.75,1,0.5167142776850397,-0.4809429383752502
2001-2002,2001,29,82,1.794993036198191,0.13800672861443075,2.49940815851616,0.03701649759747502,0.2758671056528916,0.11110344827586205,0.2459150455962025,4.089422707280055,23.80952380952381,0,-2.281072147601586,-0.7337746834012733
2002-2003,2002,29,81,1.8286607121059937,0.14420223893645243,2.595640300856144,0.037573592341827854,0.30468901941612253,0.11531034482758619,0.25257410240295597,4.20210916428541,13.636363636363637,0,-1.2952543958298224,-0.4888245295741791
2003-2004,2003,29,82,1.77426040929735,0.13608635153420648,2.464628650372395,0.0369457622826569,0.27198910690598677,0.10855172413793103,0.25068956480774024,4.025584252183597,17.391304347826086,0,-2.610159776613341,-0.7449969829280735
2004-2005,2004,30,82,1.9320973060381819,0.15477354982082026,2.803068205648454,0.03642144226320311,0.3095769102190706,0.12443333333333335,0.24874058816298403,4.039651743269034,23.958333333333332,0,-0.25445789238018474,-0.7729344793665925
2005-2006,2005,30,82,1.7815723392554117,0.13632491613282105,2.468949239013955,0.03572608896820676,0.2725030889661101,0.10579999999999995,0.2429368288848337,3.720511644458558,29.0,0,-2.8858129802623793,-1.0206119856038538
2006-2007,2006,30,82,1.767201177002777,0.13228091408016898,2.3957092468415895,0.03558728270209532,0.2644809120213549,0.10409999999999996,0.23767453522028756,3.7823436753104445,25.961538461538463,0,-3.2401844561267827,-1.1243971025039419
2007-2008,2007,30,82,2.0549939172659366,0.16875394929393162,3.056264008876527,0.0369978187586754,0.33723198210133465,0.14076666666666665,0.30884089027764366,5.321512283975839,29.629629629629633,1,2.6475788997654086,-0.6370398911380385
2008-2009,2008,30,82,2.0719555979798407,0.1721281299016761,3.1173730187340496,0.0371498446691784,0.34415614951699486,0.14309999999999998,0.2665643869300018,4.601210435446782,22.321428571428573,1,2.45316271617234,-0.5264400985459291
2009-2010,2009,30,82,2.024598725673806,0.16295810405794772,2.951296787250781,0.03675325533743142,0.325784454006034,0.1366333333333333,0.2881462930347775,4.549275602307155,20.689655172413794,1,1.381610579893111,-0.7371430181355542
2010-2011,2010,30,82,1.9874606914351791,0.16066242184500842,2.909720214064907,0.03666071782669047,0.32134663012142145,0.13166666666666668,0.28207691803334073,4.549489500223478,30.0,1,0.9649766468908778,-0.7243324264818037
2011-2012,2011,30,66,1.9618868468900035,0.15613220525324487,2.5368480633557318,0.03647178859300072,0.3120902684238164,0.1283,0.27117480286797024,4.747847376721758,20.161290322580644,1,0.21130611111554753,-1.011828132132826
2012-2013,2012,30,82,1.9761072845369505,0.1552007265358039,2.8108047050008964,0.03643505439802018,0.3102584550081988,0.13016666666666665,0.2663926767692252,4.504088066450836,16.40625,1,0.42402304661604234,-0.889776533731373
2013-2014,2013,30,82,2.006738647656939,0.1575606031917907,2.853543888997817,0.036529843347213965,0.31496354537237586,0.13423333333333334,0.28489423556395577,4.780650282800111,14.393939393939394,1,1.025292724990537,-0.8947304941297517
2014-2015,2014,30,82,2.0007498594277098,0.16414238632512246,2.972745051333849,0.036803489986119375,0.32816842750423336,0.13343333333333335,0.2739220288151654,4.785939127625145,16.91176470588235,1,1.5103068288964316,-0.6437219365052843
2015-2016,2015,30,82,1.950640920313116,0.169324896839346,3.0666043087113306,0.03702822394077599,0.33862814243897205,0.12683333333333333,0.26729681508467196,4.9170677295997525,19.285714285714285,1,1.7060584249286959,-0.333840480658583
2016-2017,2016,30,82,1.7941571837495174,0.13644816707765103,2.4711814085621047,0.03573269879040255,0.27287921487178957,0.10729999999999998,0.23903577799442005,4.19156459965768,18.055555555555557,0,-2.424209776308111,-1.0669407367323682
2017-2018,2017,30,82,1.944222209522358,0.14908039950725038,2.699960868171088,0.036196708308546495,0.29809958285733806,0.12599999999999995,0.2568366372546426,4.281013804626458,9.45945945945946,0,-0.4362173277149322,-1.0153778783464713
2018-2019,2018,30,82,1.8934096228761488,0.14670695240873033,2.6569759130069,0.036106814726683846,0.2933829587472523,0.11949999999999997,0.2722006209335417,4.705651725416953,13.157894736842104,0,-0.6019546898411233,-0.9861109856989506
2019-2020,2019,30,72,2.00149943792148,0.1544284084400708,2.620736995579678,0.037003747722877164,0.33750468454421667,0.1335333333333333,0.28153075744523404,4.8148491102030375,17.30769230769231,1,0.9253382176904132,-0.8711314212900706
2020-2021,2020,30,72,1.8630619957478602,0.13902256907654842,2.3592912319680623,0.03582647462277092,0.2781606556683675,0.1157,0.27307029806844246,4.751750312725066,20.625,0,-1.5683050790357296,-1.2755240385242606
2021-2022,2021,30,82,1.8867962264113207,0.1410270048322449,2.5541076872678885,0.03589794434529712,0.28211943611413703,0.11866666666666667,0.2765366987527542,4.673323769810012,23.78048780487805,0,-1.1150076232360209,-1.165265226151613
2022-2023,2022,30,82,1.6531787562148264,0.12231234277619858,2.2151707419727162,0.035259435521184476,0.24449046022331422,0.09110000000000001,0.2410114571188731,3.86942390793647,12.5,0,-4.622618519043666,-1.1706253352505465
