season,champion,prior_titles,prior_titles_10y,prior_top4,prior_top8,career_win_pct,years_since_title,seasons_of_history,pedigree_index,n_teams,win_pct_sd,noll_scully,mov_sd,top_bottom_gap,hhi_wins,gini_wins,strength_sd,upset_rate,title_hhi,unique_champions,title_entropy,elite_holdover,start_year
2001-2002,Los Angeles Lakers,6,2,11,15,0.6739644970414201,1.0,21,1.1876283603386901,29,0.13800672861443075,2.49940815851616,4.089422707280055,0.488,0.03701649759747502,0.1545778834720571,0.5711637606518482,0.3423044575273339,0.3400000000000001,4.0,1.2206072645530173,0.75,2001
2002-2003,San Antonio Spurs,1,1,7,13,0.5705417607223476,4.0,22,0.13674195823687135,29,0.14420223893645243,2.595640300856144,4.20210916428541,0.525,0.037573592341827854,0.16777998435337305,0.6168587316342081,0.3389402859545837,0.30000000000000004,4.0,1.2798542258336674,0.75,2002
2003-2004,Detroit Pistons,2,0,4,10,0.535059331175836,14.0,23,-0.24248147518839663,29,0.13608635153420648,2.464628650372395,4.025584252183597,0.488,0.0369457622826569,0.15283779472753112,0.5934603157870518,0.34314550042052144,0.26,4.0,1.366158847569202,0.75,2003
2004-2005,San Antonio Spurs,2,2,9,15,0.5824289405684755,2.0,24,0.6343993311925686,30,0.15477354982082026,2.803068205648454,4.039651743269034,0.597,0.03642144226320311,0.17159891598915988,0.6656058611632808,0.3132137030995106,0.24000000000000002,5.0,1.5047882836811908,0.25,2004
2005-2006,Miami Heat,0,0,3,4,0.4842027920646583,,17,-0.7730015152391367,30,0.13632491613282105,2.468949239013955,3.720511644458558,0.524,0.03572608896820676,0.15127371273712736,0.5953046506778733,0.3423044575273339,0.28,4.0,1.313834033192747,0.75,2005
2006-2007,San Antonio Spurs,3,3,11,17,0.5950452596474511,2.0,26,1.132056704148266,30,0.13228091408016898,2.3957092468415895,3.7823436753104445,0.5489999999999999,0.03558728270209532,0.1461788617886179,0.5635888870307048,0.34382978723404256,0.24000000000000002,5.0,1.5047882836811908,0.75,2006
2007-2008,Boston Celtics,3,0,8,11,0.5543328748280605,22.0,27,0.14090359773802852,30,0.16875394929393162,3.056264008876527,5.321512283975839,0.6220000000000001,0.0369978187586754,0.18953929539295392,0.7430342541713374,0.30198019801980197,0.28,5.0,1.4184836619456564,0.0,2007
2008-2009,Los Angeles Lakers,7,3,13,20,0.6539991162174105,7.0,28,1.8122384960332272,30,0.1721281299016761,3.1173730187340496,4.601210435446782,0.5980000000000001,0.0371498446691784,0.19414634146341464,0.7552790864787575,0.3059019118869493,0.28,5.0,1.4184836619456564,0.5,2008
2009-2010,Los Angeles Lakers,8,4,14,21,0.6588486140724946,1.0,29,2.2096467876778023,30,0.16295810405794772,2.951296787250781,4.549275602307155,0.598,0.03675325533743142,0.1807588075880759,0.7021546401896508,0.3007582139848357,0.28,5.0,1.4184836619456564,0.5,2009
2010-2011,Dallas Mavericks,0,0,7,10,0.4971169686985173,,30,-0.28737001483542113,30,0.16066242184500842,2.909720214064907,4.549489500223478,0.549,0.03666071782669047,0.18119241192411925,0.6969817358964391,0.3115161557580779,0.28,5.0,1.4184836619456564,0.25,2010
2011-2012,Miami Heat,1,1,4,6,0.4954128440366973,6.0,23,-0.3332756360149483,30,0.15613220525324487,2.5368480633557318,4.747847376721758,0.652,0.03647178859300072,0.17225589225589225,0.689564273787671,0.30505050505050507,0.22000000000000003,6.0,1.6434177197931796,0.75,2011
2012-2013,Miami Heat,2,2,5,7,0.5023449713392392,1.0,24,0.06413265562962679,30,0.1552007265358039,2.8108047050008964,4.504088066450836,0.561,0.03643505439802018,0.1749118524545701,0.6738444958378489,0.3142857142857143,0.20000000000000004,6.0,1.6957425341696346,0.75,2012
2013-2014,San Antonio Spurs,4,2,16,24,0.6157320286036884,7.0,33,1.6394610963712026,30,0.1575606031917907,2.853543888997817,4.780650282800111,0.573,0.036529843347213965,0.1770731707317073,0.7064427305777338,0.32293423271500843,0.20000000000000004,6.0,1.6957425341696346,0.75,2013
2014-2015,Golden State Warriors,0,0,1,2,0.4238773274917853,,34,-0.9734996778613811,30,0.16414238632512246,2.972745051333849,4.785939127625145,0.6219999999999999,0.036803489986119375,0.18341463414634146,0.7288340348063772,0.2975609756097561,0.24000000000000002,5.0,1.5047882836811908,0.75,2014
2015-2016,Cleveland Cavaliers,0,0,4,10,0.4712969525159461,,35,-0.4611644960299483,30,0.169324896839346,3.0666043087113306,4.9170677295997525,0.768,0.03702822394077599,0.18460704607046072,0.7708682941884749,0.3008130081300813,0.20000000000000004,6.0,1.6957425341696346,0.5,2015
2016-2017,Golden State Warriors,1,1,3,4,0.4481570788839132,2.0,36,-0.4758423049056838,30,0.13644816707765103,2.4711814085621047,4.19156459965768,0.573,0.03573269879040255,0.15170731707317073,0.5659324393038285,0.35121951219512193,0.16000000000000006,7.0,1.8866967846580782,0.5,2016
2017-2018,Golden State Warriors,2,2,4,5,0.45829145728643217,1.0,37,-0.07843401326110869,30,0.14908039950725038,2.699960868171088,4.281013804626458,0.537,0.036196708308546495,0.165420054200542,0.6196778365181465,0.3227642276422764,0.16000000000000006,7.0,1.8866967846580782,0.5,2017
2018-2019,Toronto Raptors,0,0,1,3,0.4571272528672856,,23,-0.9311820902817679,30,0.14670695240873033,2.6569759130069,4.705651725416953,0.525,0.036106814726683846,0.16308943089430894,0.6163201189678532,0.33414634146341465,0.20000000000000004,6.0,1.6957425341696346,0.75,2018
2019-2020,Los Angeles Lakers,9,1,15,23,0.6059066370276278,10.0,39,1.8981018672512824,30,0.1544284084400708,2.620736995579678,4.8148491102030375,0.536,0.037003747722877164,0.18939250865596474,0.6681388508572365,0.32200188857412654,0.18000000000000005,7.0,1.8343719702816235,0.5,2019
2020-2021,Milwaukee Bucks,0,0,7,11,0.5017064846416383,,40,-0.24505242725580795,30,0.13902256907654842,2.3592912319680623,4.751750312725066,0.486,0.03582647462277092,0.15611111111111112,0.5672931135246916,0.3333333333333333,0.18000000000000005,7.0,1.8343719702816235,0.5,2020
2021-2022,Golden State Warriors,3,3,6,7,0.46774193548387094,4.0,41,0.41922335969458874,30,0.1410270048322449,2.5541076872678885,4.673323769810012,0.536,0.03589794434529712,0.1570189701897019,0.5809877577660921,0.33902439024390246,0.18000000000000005,7.0,1.8343719702816235,0.5,2021
2022-2023,Denver Nuggets,0,0,0,10,0.49422564406277764,,42,-0.6928904709559845,30,0.12231234277619858,2.2151707419727162,3.86942390793647,0.5,0.035259435521184476,0.13279132791327913,0.49826208344174816,0.359349593495935,0.22000000000000008,7.0,1.7480673485460891,0.25,2022
