league,season,start_year,n_teams,champion,mad_from_median,win_pct_sd,noll_scully,mov_sd,gini_wins,top_bottom_gap,upset_rate,prior_titles,career_win_pct,has_won_before,top3_pedigree,dynasty,top_career,tightness_index
NBA,1995-1996,1995,29,Chicago Bulls,0.13534482758620692,0.17127306575812554,3.1018871484587254,5.057293177749762,0.1912357530234042,0.6950000000000001,0.29957805907172996,3,0.5536585365853659,1,1,1,1,-2.645482850132332
NBA,1996-1997,1996,29,Chicago Bulls,0.16020689655172413,0.1909225592886294,3.457754611834829,5.287433214708249,0.21530698065601345,0.6699999999999999,0.2649789029535865,4,0.5739329268292683,1,1,1,1,-5.211794961382776
NBA,1997-1998,1997,29,Chicago Bulls,0.15141379310344827,0.1894470304330513,3.4310316476954394,5.36007111102744,0.21113076766915112,0.622,0.28450465707027944,5,0.5896700143472023,1,1,1,1,-4.567500659232206
NBA,1998-1999,1998,29,San Antonio Spurs,0.12551724137931036,0.1592841127401869,2.252617525077374,4.335789994550853,0.17664684898929844,0.58,0.3103448275862069,0,0.5453929539295393,0,0,0,0,0.8620706008005838
NBA,1999-2000,1999,29,Los Angeles Lakers,0.12917241379310346,0.16098667447837386,2.915592679019266,4.596924812740594,0.17911313476987326,0.6339999999999999,0.3103448275862069,4,0.6657929226736566,1,1,1,1,-0.8330512910130969
NBA,2000-2001,2000,29,Los Angeles Lakers,0.1261379310344828,0.1571590374562888,2.846271224211319,4.429103424267392,0.1729648212058815,0.524,0.3105485232067511,5,0.6735074626865671,1,1,1,1,0.3550935852807072
NBA,2001-2002,2001,29,Los Angeles Lakers,0.10986206896551724,0.13800672861443075,2.49940815851616,4.089422707280055,0.1545778834720571,0.488,0.3423044575273339,6,0.6739644970414201,1,1,1,1,2.8973849923640245
NBA,2002-2003,2002,29,San Antonio Spurs,0.11282758620689654,0.14420223893645243,2.595640300856144,4.20210916428541,0.16777998435337305,0.525,0.3389402859545837,1,0.5705417607223476,1,0,0,1,1.8488346116155232
NBA,2003-2004,2003,29,Detroit Pistons,0.10855172413793103,0.13608635153420648,2.464628650372395,4.025584252183597,0.15283779472753112,0.488,0.34314550042052144,2,0.535059331175836,1,0,0,0,3.148108310564817
NBA,2004-2005,2004,30,San Antonio Spurs,0.12123333333333335,0.15477354982082026,2.803068205648454,4.039651743269034,0.17159891598915988,0.597,0.3132137030995106,2,0.5824289405684755,1,0,0,1,0.6519597409646045
