league,balance,powerhouse,n_tight,n_loose,rate_tight,rate_loose,difference,odds_ratio,p_fisher,q_fisher
NCAAF,SD of win%,already had 3+ titles,17,17,0.058823529411764705,0.29411764705882354,-0.23529411764705882,0.15,0.17484073212660534,0.8055406693569876
NCAAF,Noll-Scully,had won before,17,17,0.5294117647058824,0.8235294117647058,-0.2941176470588235,0.24107142857142858,0.14107032505252748,0.8055406693569876
NCAAF,Noll-Scully,top-3 most decorated,17,17,0.11764705882352941,0.5294117647058824,-0.4117647058823529,0.11851851851851852,0.02550982573229514,0.33162773451983685
NCAAF,Noll-Scully,top-quartile career win%,17,17,0.8235294117647058,1.0,-0.17647058823529416,0.0,0.22727272727272727,0.8055406693569876
NCAAF,Noll-Scully,already had 3+ titles,17,17,0.058823529411764705,0.4117647058823529,-0.3529411764705882,0.08928571428571429,0.03909693898570428,0.4066081654513245
NCAAF,SD of scoring margin,had won before,17,17,0.8823529411764706,0.47058823529411764,0.4117647058823529,8.4375,0.02550982573229514,0.33162773451983685
NCAAF,SD of scoring margin,top-3 most decorated,17,17,0.17647058823529413,0.29411764705882354,-0.11764705882352941,0.5142857142857142,0.6880184866836703,0.9887970080728191
NCAAF,SD of scoring margin,top-quartile career win%,17,17,1.0,0.8235294117647058,0.17647058823529416,inf,0.22727272727272727,0.8055406693569876
NCAAF,SD of scoring margin,already had 3+ titles,17,17,0.23529411764705882,0.058823529411764705,0.1764705882352941,4.923076923076923,0.335288367546432,0.8055406693569876
NCAAF,Gini of wins,had won before,17,17,0.7647058823529411,0.7058823529411765,0.05882352941176461,1.3541666666666667,1.0,1.0
NCAAF,Gini of wins,top-3 most decorated,17,17,0.11764705882352941,0.47058823529411764,-0.3529411764705882,0.15,0.05702632554690397,0.4942281547398344
NCAAF,Gini of wins,top-quartile career win%,17,17,1.0,0.9411764705882353,0.05882352941176472,inf,1.0,1.0
NCAAF,Gini of wins,already had 3+ titles,17,17,0.17647058823529413,0.29411764705882354,-0.11764705882352941,0.5142857142857142,0.6880184866836703,0.9887970080728191
NCAAF,best − worst win%,had won before,17,24,0.7647058823529411,0.6666666666666666,0.0980392156862745,1.625,0.7288536372722052,0.9973786615303861
NCAAF,best − worst win%,top-3 most decorated,17,24,0.29411764705882354,0.25,0.04411764705882354,1.25,1.0,1.0
NCAAF,best − worst win%,top-quartile career win%,17,24,0.8823529411764706,0.875,0.007352941176470562,1.0714285714285714,1.0,1.0
NCAAF,best − worst win%,already had 3+ titles,17,24,0.11764705882352941,0.25,-0.1323529411764706,0.4,0.4328247473305239,0.8055406693569876
