season,start_year,team,bt,mov,win_pct,conf_rank,league_rank,strength_gap_to_best,league_strength_sd,prior_titles,prior_top4,career_win_pct,won_title,title_prob
1991-1992,1991,Los Angeles Clippers,0.22714728627979214,0.15715754450515007,0.549,7.0,12.0,1.1953339511511853,0.6819145721868666,0,0,0.30313588850174217,0,0.0022
1991-1992,1991,Los Angeles Lakers,0.13021318021561268,-0.13572697025444777,0.524,8.0,13.0,1.2922680572153649,0.6819145721868666,4,9,0.7228381374722838,0,0.00075
1991-1992,1991,New Jersey Nets,-0.049378717152116974,-0.2200205623072101,0.488,6.5,15.0,1.4718599545830944,0.6819145721868666,0,0,0.39356984478935697,0,5e-05
1991-1992,1991,New York Knicks,0.48660626414071434,0.5243347166671825,0.622,3.5,7.5,0.9358749732902631,0.6819145721868666,0,1,0.46452328159645234,0,0.00885
1991-1992,1991,Phoenix Suns,0.6238647594390843,0.8129331165766399,0.646,4.0,6.0,0.7986164779918932,0.6819145721868666,0,5,0.5465631929046563,0,0.0294
1991-1992,1991,Portland Trail Blazers,0.8331991046126365,0.9915212353324923,0.695,1.0,2.0,0.589282132818341,0.6819145721868666,0,2,0.5831485587583148,0,0.10335
1991-1992,1991,San Antonio Spurs,0.26077158991443017,0.4014660909631561,0.573,5.5,11.0,1.1617096475165472,0.6819145721868666,0,0,0.5066518847006651,0,0.0021
1991-1992,1991,Seattle SuperSonics,0.32462122763658047,0.2657391207087083,0.573,5.5,10.0,1.097860009794397,0.6819145721868666,0,0,0.49889135254988914,0,0.00365
1991-1992,1991,Utah Jazz,0.6710041638790978,0.8143618215266868,0.671,2.5,5.0,0.7514770735518796,0.6819145721868666,0,0,0.5121951219512195,0,0.03655
1992-1993,1992,Atlanta Hawks,0.12599072589245225,-0.09572323165313687,0.524,6.5,12.0,0.9646240610741754,0.6784643833291799,0,2,0.5294715447154471,0,0.00125
1992-1993,1992,Boston Celtics,0.3596474100939624,0.13286956035435415,0.585,4.0,9.0,0.7309673768726652,0.6784643833291799,3,8,0.7012195121951219,0,0.01005
1992-1993,1992,Charlotte Hornets,0.1824276030668494,-0.0028574099000936376,0.537,5.0,11.0,0.9081871838997781,0.6784643833291799,0,0,0.2926829268292683,0,0.00255
1992-1993,1992,Chicago Bulls,0.82833901890603,0.8843683640789809,0.695,2.0,3.0,0.2622757680605976,0.6784643833291799,2,2,0.5304878048780488,1,0.1235
1992-1993,1992,Cleveland Cavaliers,0.6710761139365945,0.9000841185294958,0.659,3.0,5.0,0.4195386730300331,0.6784643833291799,0,1,0.42784552845528456,0,0.05455
1992-1993,1992,Houston Rockets,0.6655413262501964,0.5100476671667142,0.671,2.5,6.0,0.42507346071643126,0.6784643833291799,0,0,0.5040650406504065,0,0.0629
1992-1993,1992,Los Angeles Clippers,0.007524184338661386,0.0457185584014982,0.5,7.0,16.0,1.0830906026279663,0.6784643833291799,0,0,0.33384146341463417,0,0.0003
1992-1993,1992,Los Angeles Lakers,-0.08970304810069274,-0.17144459400561826,0.476,8.0,18.0,1.1803178350673202,0.6784643833291799,4,9,0.7063008130081301,0,0.00015
1992-1993,1992,New Jersey Nets,0.10237198527396384,0.17144459400561826,0.524,6.5,13.0,0.9882428016926638,0.6784643833291799,0,0,0.4014227642276423,0,0.00075
1992-1993,1992,New York Knicks,0.9760575103519471,0.8386498056774826,0.732,1.0,2.0,0.11455727661468051,0.6784643833291799,0,1,0.47764227642276424,0,0.26975
1992-1993,1992,Phoenix Suns,1.0906147869666276,0.8957980036793554,0.756,1.0,1.0,0.0,0.6784643833291799,0,6,0.5548780487804879,0,0.3849
1992-1993,1992,Portland Trail Blazers,0.49822889274615934,0.4171818454136711,0.622,4.0,7.0,0.5923858942204683,0.6784643833291799,0,3,0.592479674796748,0,0.01575
1992-1993,1992,San Antonio Spurs,0.3735065760882899,0.31574379396034696,0.598,5.0,8.0,0.7171082108783378,0.6784643833291799,0,0,0.5121951219512195,0,0.0056
1992-1993,1992,Seattle SuperSonics,0.7034197673371716,0.9515174967311814,0.671,2.5,4.0,0.387195019629456,0.6784643833291799,0,0,0.5050813008130082,0,0.064
1992-1993,1992,Utah Jazz,0.27566742732343946,0.24859466130814648,0.573,6.0,10.0,0.8149473596431882,0.6784643833291799,0,1,0.5254065040650406,0,0.0033
1993-1994,1993,Atlanta Hawks,0.8135411146004563,0.7057802453231286,0.695,1.5,4.0,0.4059924564133288,0.7777706176679372,0,2,0.5290806754221389,0,0.14365
1993-1994,1993,Chicago Bulls,0.705886131094924,0.410038320663437,0.671,3.0,7.0,0.5136474399188611,0.7777706176679372,3,3,0.5431519699812383,0,0.05775
1993-1994,1993,Cleveland Cavaliers,0.2687396565549369,0.520048601817042,0.573,5.5,13.0,0.9507939144588482,0.7777706176679372,0,2,0.4455909943714822,0,0.0045
1993-1994,1993,Denver Nuggets,0.09395758756105685,0.2200205623072101,0.512,8.0,15.0,1.1255759834527284,0.7777706176679372,0,0,0.4906191369606004,0,0.0001
1993-1994,1993,Golden State Warriors,0.5018788470000318,0.2514520712082401,0.61,6.0,9.0,0.7176547240137533,0.7777706176679372,0,0,0.44840525328330205,0,0.00785
1993-1994,1993,Houston Rockets,0.925225522437134,0.5986273740696171,0.707,2.0,2.0,0.29430804857665116,0.7777706176679372,0,0,0.5168855534709194,1,0.13265
1993-1994,1993,Indiana Pacers,0.29920125822837484,0.4657578137152629,0.573,5.5,12.0,0.9203323127854103,0.7777706176679372,0,0,0.4165103189493433,0,0.005
1993-1994,1993,Miami Heat,0.03155360496976837,0.3428891880112365,0.512,8.0,16.0,1.1879799660440167,0.7777706176679372,0,0,0.3195121951219512,0,0.00075
1993-1994,1993,New Jersey Nets,0.19861938637627963,0.30145674445987874,0.549,7.0,14.0,1.0209141846375056,0.7777706176679372,0,0,0.41088180112570355,0,0.00145
1993-1994,1993,New York Knicks,0.8020719944464098,0.9258008076303387,0.695,1.5,5.0,0.41746157656737537,0.7777706176679372,0,1,0.4971857410881801,0,0.10935
1993-1994,1993,Orlando Magic,0.44424822206876546,0.5257634216172293,0.61,4.0,10.0,0.7752853489450197,0.7777706176679372,0,0,0.3384146341463415,0,0.01495
